"studentID","abi_note","abi_m_note","m_vertief","m_vorbereit","finanz_eltern","sprache","fachsem","sex","gebu"
"student1",1.9,2,0,0,0,0,1,1,1998
"student10",2.4,3.3,0,0,1,0,1,1,1998
"student100",2.2,2,0,0,1,0,2,0,1993
"student101",1.6,1,1,0,1,0,1,0,1998
"student102",1.7,1.3,0,0,1,0,1,0,1995
"student103",1.7,14,0,1,1,0,1,0,1999
"student104",2.2,7,0,0,1,0,1,0,1997
"student105",1.8,1,0,0,1,0,1,0,1999
"student106",1.6,1,0,0,0,0,1,0,1993
"student107",1.2,14,0,0,1,0,1,0,1999
"student108",1.6,1.6,0,0,0,0,1,0,1998
"student109",1.5,1,0,0,1,0,1,0,1997
"student11",1.5,12,0,0,1,0,1,1,1998
"student110",2.1,1.25,0,0,1,0,1,0,1996
"student111",1.6,9,0,0,1,0,1,0,1998
"student112",1.8,15,0,0,0,2,1,0,1997
"student113",2.3,1.7,0,0,1,0,1,0,1999
"student114",3,5,0,0,1,0,1,0,1998
"student115",2,2,1,0,1,0,1,0,1999
"student116",1.4,1.2,0,1,1,0,1,0,1998
"student117",2,12,0,0,1,0,1,0,1999
"student12",1.5,11,0,0,1,0,1,1,1998
"student13",1.7,13,0,0,1,0,1,1,1998
"student14",1.9,2,0,0,1,0,1,1,1998
"student15",1.3,13,0,0,1,0,1,1,1997
"student16",1.7,2,0,1,0,0,1,1,1994
"student17",2,2,0,0,1,0,1,1,1998
"student18",1,1,1,0,1,0,1,1,1999
"student19",2.8,9,0,0,1,0,1,1,1997
"student2",2.2,9,0,0,1,0,1,1,1997
"student20",1.3,1.3,0,0,1,0,1,1,1998
"student21",1.8,3,0,1,1,0,1,1,1997
"student22",1.1,15,1,2,1,0,1,1,1999
"student23",2.2,1.75,0,0,1,0,1,1,1999
"student24",1.9,9,0,0,1,0,1,1,1997
"student25",2,1,0,0,1,0,1,1,1998
"student26",1.6,12,0,0,1,2,1,1,1998
"student27",1.4,14,0,0,1,0,1,1,1998
"student28",3.1,3,0,1,1,1,1,1,1995
"student29",1,1,0,0,1,0,1,NA,NA
"student3",1.6,2.25,1,0,1,0,1,1,1999
"student30",2.2,2.1,1,0,1,0,1,1,1998
"student31",2.5,3.5,0,0,1,0,1,1,1999
"student32",3,2.25,0,0,1,0,1,0,1997
"student33",1,1,1,0,0,0,1,1,1998
"student34",2.5,4,0,0,1,0,1,1,1997
"student35",2.3,2.5,1,0,1,0,1,1,1998
"student36",1.6,1.6,0,0,1,0,1,1,1999
"student37",2.1,12,0,0,1,0,1,1,1998
"student38",1.4,13,0,0,1,0,1,1,1997
"student39",1.9,13,0,0,1,0,1,1,1998
"student4",1.9,1,4,0,1,0,1,0,1995
"student40",2.3,12,0,0,1,0,1,1,1998
"student41",1.6,1.7,0,0,1,0,1,1,1997
"student42",2.1,9,0,0,1,0,1,0,1999
"student43",2.3,3,1,0,1,0,1,0,1997
"student44",1.66,14,0,0,1,0,1,0,1997
"student45",1.8,15,0,0,1,0,1,0,1996
"student46",2,1,0,0,1,2,1,1,1998
"student47",1.3,1.3,1,1,1,0,1,1,1996
"student48",1.1,1,1,1,1,0,5,1,1997
"student49",3,2,1,0,1,2,1,1,1999
"student5",1.2,15,1,0,1,0,1,1,1999
"student50",1.2,1,0,1,1,0,1,1,1997
"student51",1,1.6,1,1,1,0,2,1,1997
"student52",2.6,2,0,1,1,0,1,1,1998
"student53",1.8,1.5,0,0,1,0,1,0,1998
"student54",2.5,2.1,0,0,1,0,1,1,1998
"student55",1.6,14,0,0,1,0,1,1,1996
"student56",2.3,0.75,0,0,1,0,1,0,1998
"student57",1.7,12,1,0,1,0,1,1,1997
"student58",1.8,14,1,0,1,0,1,0,1999
"student59",1.8,11,0,0,1,0,1,0,1995
"student6",1.7,9,0,0,1,0,1,1,1997
"student60",3,3,1,1,1,0,1,0,1998
"student61",2.4,2,1,0,1,2,1,0,1998
"student62",1.8,2,NA,0,1,0,1,0,1997
"student63",2.1,15,0,0,1,0,1,0,1994
"student64",3.3,1.8,0,0,1,0,1,0,1997
"student65",1.1,0.66,0,0,1,0,1,0,1998
"student66",1.4,1,0,0,1,0,1,0,1998
"student67",1.3,15,0,0,1,0,1,0,1998
"student68",1.9,11,1,0,1,0,1,0,1998
"student69",1.6,12,1,0,1,0,1,1,1999
"student7",1.6,15,0,0,1,0,1,1,1993
"student70",2,2,0,0,1,0,1,0,1998
"student71",1.3,1,1,0,1,0,1,0,1999
"student72",1.5,0.66,1,0,1,0,1,0,2000
"student73",1.1,15,0,0,1,0,1,0,1998
"student74",1.7,1.3,1,0,1,0,1,0,1998
"student75",1.1,15,1,0,1,0,1,0,1999
"student76",1.3,1,1,0,1,0,1,0,1998
"student77",1.7,1.3,0,0,0,0,1,1,1996
"student78",1,1,1,0,1,0,1,0,1999
"student79",1.9,2.25,0,0,1,0,1,0,1997
"student8",1.6,10,0,0,1,0,1,1,1998
"student80",1.8,12,0,0,1,0,1,1,1998
"student81",1.6,1.3,1,1,1,0,1,0,1998
"student82",2.1,13,1,0,1,0,1,0,1997
"student83",2,12,0,0,1,0,1,0,1998
"student84",1.5,15,0,0,1,1,1,0,1999
"student85",2.5,2.3,NA,0,1,0,1,0,1996
"student86",2.1,1,0,0,1,0,1,0,1997
"student87",2.1,2,0,1,0,0,1,0,1997
"student88",2.9,3.3,0,0,1,0,1,0,1995
"student89",2.3,3.2,0,0,1,0,1,0,1997
"student9",NA,NA,0,0,1,0,NA,1,1995
"student90",1.7,1.3,0,0,1,0,1,0,1997
"student91",1.8,1.3,0,0,1,0,1,0,1997
"student92",3.4,3.3,1,0,1,1,1,0,1999
"student93",1.5,1,0,0,1,0,1,0,1998
"student94",1.6,1.5,1,1,1,1,2,0,1996
"student95",1.9,2.75,1,0,0,0,1,0,1998
"student96",1.9,1.4,1,0,1,0,1,0,1998
"student97",2.5,1,0,0,1,0,1,0,1996
"student98",1.4,14,1,0,1,0,1,0,1998
"student99",2.4,NA,0,1,1,0,1,0,1999
