"studentID","Zulassung","ProzentT1","NoteT1","ProzentT2","NoteT2","ProzentP","NoteP"
"student1",NA,NA,NA,NA,NA,NA,NA
"student10",NA,NA,NA,NA,NA,NA,NA
"student100",1,0.77,2,0.7,2.3,0.74,2.3
"student101",1,0.75,2.3,0.71,2.3,0.73,2.3
"student102",NA,NA,NA,NA,NA,NA,NA
"student103",1,0.87,1.3,0.6,3,0.73,2.3
"student104",1,0.24,5,0.13,5,0.19,5
"student105",1,0.92,1,0.91,1,0.91,1
"student106",1,0.75,2,0.85,1.3,0.8,1.7
"student107",1,0.87,1.3,0.74,2.3,0.81,1.7
"student108",1,0.21,5,NA,NA,0.11,5
"student109",1,0.6,3,0.59,3.3,0.6,3.3
"student11",1,0.34,5,0.32,5,0.33,5
"student110",1,0.57,3.3,0.61,3,0.59,3.3
"student111",1,0.44,5,0.57,3.3,0.51,3.7
"student112",1,0.79,2,0.64,3,0.71,2.3
"student113",1,0.58,3.3,0.49,4,0.54,3.7
"student114",NA,NA,NA,NA,NA,NA,NA
"student115",1,0.44,5,0.42,5,0.43,5
"student116",NA,NA,NA,NA,NA,NA,NA
"student117",1,0.48,4,0.54,3.7,0.51,3.7
"student12",1,0.45,4,0.33,5,0.39,5
"student13",1,0.43,5,0.56,3.3,0.5,4
"student14",1,0.74,2.3,0.55,3.3,0.65,3
"student15",1,0.41,5,0.53,3.7,0.47,4
"student16",1,0.59,3.3,0.67,2.7,0.63,3
"student17",1,0.35,5,0.39,5,0.37,5
"student18",1,0.68,2.7,0.68,2.7,0.68,2.7
"student19",1,0.25,5,0.45,4,0.35,5
"student2",1,0.26,5,0.29,5,0.28,5
"student20",1,0.56,3.3,0.56,3.3,0.56,3.3
"student21",NA,NA,NA,NA,NA,NA,NA
"student22",1,0.29,5,0.44,5,0.37,5
"student23",NA,NA,NA,NA,NA,NA,NA
"student24",1,0.35,5,0.33,5,0.34,5
"student25",1,0.55,3.3,0.45,4,0.5,3.7
"student26",1,0.25,5,0.59,3.3,0.42,5
"student27",1,0.79,2,0.68,2.7,0.73,2.3
"student28",1,0.08,5,NA,NA,0.04,5
"student29",1,0.93,1,0.71,2.3,0.82,1.7
"student3",1,0.46,4,0.44,5,0.45,4
"student30",1,0.87,1.3,0.41,5,0.64,3
"student31",1,0.17,5,NA,NA,0.09,5
"student32",1,0.29,5,NA,NA,0.15,5
"student33",1,0.57,3.3,0.54,3.7,0.56,3.3
"student34",1,0.33,5,0.26,5,0.3,5
"student35",1,0.51,3.7,0.4,5,0.46,4
"student36",1,0.36,5,0.33,5,0.35,5
"student37",1,0.48,4,0.34,5,0.41,5
"student38",1,0.39,5,0.49,4,0.44,5
"student39",1,0.4,5,0.32,5,0.36,5
"student4",1,0.79,2,0.59,3.3,0.69,2.7
"student40",1,0.54,3.7,0.4,5,0.47,4
"student41",1,0.42,5,0.41,5,0.42,5
"student42",1,0.44,5,0.53,3.7,0.49,4
"student43",1,0.42,5,0.31,5,0.37,5
"student44",1,0.74,2.3,0.68,2.7,0.71,2.3
"student45",1,0.74,2.3,0.62,3,0.68,2.7
"student46",1,0.33,5,0.41,5,0.37,5
"student47",1,0.58,3.3,0.62,3,0.6,3
"student48",1,0.67,2.7,0.69,2.7,0.68,2.7
"student49",1,0.19,5,0.16,5,0.18,5
"student5",1,0.74,2.3,0.74,2.3,0.74,2.3
"student50",1,0.62,3,0.7,2.3,0.66,2.7
"student51",1,0.73,2.3,0.73,2.3,0.73,2.3
"student52",NA,NA,NA,NA,NA,NA,NA
"student53",1,0.63,3,0.57,3.3,0.6,3
"student54",NA,NA,NA,NA,NA,NA,NA
"student55",1,0.52,3.7,0.64,3,0.58,3.3
"student56",1,0.74,2.3,0.66,2.7,0.7,2.3
"student57",1,0.56,3.3,0.52,3.7,0.54,3.7
"student58",1,0.89,1.3,0.53,3.7,0.71,2.3
"student59",1,0.71,2.3,0.37,5,0.54,3.7
"student6",1,0.77,2,0.68,2.7,0.73,2.3
"student60",NA,NA,NA,NA,NA,NA,NA
"student61",1,0.66,2.7,0.64,3,0.65,2.7
"student62",1,0.43,5,0.41,5,0.42,5
"student63",1,0.73,2.3,0.59,3.3,0.66,2.7
"student64",NA,NA,NA,NA,NA,NA,NA
"student65",1,0.82,1.7,0.65,2.7,0.74,2.3
"student66",1,0.69,2.7,0.83,1.7,0.76,2
"student67",1,0.8,1.7,0.79,2,0.79,2
"student68",1,0.81,1.7,0.58,3.3,0.7,2.7
"student69",NA,NA,NA,NA,NA,NA,NA
"student7",1,0.36,5,0.71,2.3,0.54,3.7
"student70",1,0.36,5,0.37,5,0.37,5
"student71",1,0.71,2.3,0.75,2,0.73,2.3
"student72",1,0.8,1.7,0.69,2.7,0.75,2.3
"student73",1,0.72,2.3,0.61,3,0.67,2.7
"student74",1,0.72,2.3,0.77,2,0.75,2.3
"student75",1,0.75,2,0.74,2.3,0.75,2.3
"student76",1,0.72,2.3,0.68,2.7,0.7,2.3
"student77",1,0.63,3,0.51,3.7,0.57,3.3
"student78",1,0.77,2,0.77,2,0.77,2
"student79",1,0.5,3.7,0.64,3,0.57,3.3
"student8",1,0.25,5,NA,NA,0.13,5
"student80",1,0.67,2.7,0.61,3,0.64,3
"student81",1,0.87,1.3,0.76,2,0.81,1.7
"student82",1,0.67,2.7,0.32,5,0.5,4
"student83",1,0.56,3.3,0.6,3,0.58,3.3
"student84",1,0.49,4,0.6,3,0.55,3.7
"student85",1,0.23,5,0.27,5,0.25,5
"student86",1,0.27,5,NA,NA,0.14,5
"student87",1,0.4,5,NA,NA,0.2,5
"student88",1,0.46,4,0.25,5,0.36,5
"student89",1,0.58,3.3,0.55,3.3,0.57,3.3
"student9",1,0.38,5,0.18,5,0.28,5
"student90",1,0.54,3.7,0.66,2.7,0.6,3
"student91",1,0.52,3.7,0.5,3.7,0.51,3.7
"student92",1,0.22,5,0.39,5,0.31,5
"student93",1,0.6,3,0.53,3.7,0.57,3.3
"student94",1,0.66,2.7,0.81,1.7,0.74,2.3
"student95",1,0.26,5,0.44,5,0.35,5
"student96",1,0.71,2.3,0.6,3,0.66,2.7
"student97",1,0.7,2.3,0.6,3,0.65,2.7
"student98",1,0.56,3.3,0.71,2.3,0.64,3
"student99",1,0.38,5,0.24,5,0.31,5
