"studentID","Av","Iv","Se","Uv","Co"
"student1",2.75,3.5,2.5,3.33,2
"student10",3,3.25,2.25,3.25,3
"student100",3.75,4,2.25,2.75,1.67
"student101",3.25,4,2.67,3.75,2.33
"student102",3,4,2,3.25,2.17
"student103",3,3.75,1.75,3,2.67
"student104",2.75,2,2,2.5,2.67
"student105",3,4,2.5,3.5,2.5
"student106",3,3.75,2,2.75,1.67
"student107",3.25,4,2.5,3.75,2.17
"student108",2.75,3,2,3.5,1.83
"student109",2.5,4,2.25,2.75,1.5
"student11",3.25,3.5,3,3.25,1.67
"student110",2.5,2.75,2,2.5,2.83
"student111",2.5,3,2,3.25,2.67
"student112",3.25,4,2.5,3.75,2.67
"student113",3,3.5,2.33,3.25,2.33
"student114",2.25,2.25,2.5,2.5,3.17
"student115",2.5,4,2.5,3.25,2.17
"student116",2.75,3.5,2.5,3.5,2.17
"student117",2.75,3,2.75,3,3.17
"student12",2.25,3,2,2.75,2.83
"student13",2.75,3,2.25,2.75,1.83
"student14",3,4,2.25,2.75,3.5
"student15",3.25,3.25,2.5,3.25,1.33
"student16",2.25,2.5,2,2.25,2.67
"student17",3.25,3.75,2.25,3.25,3.67
"student18",3.5,3.75,3,3.5,2.5
"student19",2.75,3.75,2,4,2.33
"student2",3,3.5,2,3,3
"student20",3.25,4,2.25,3.75,1.83
"student21",3.25,2.5,2,3.25,2.33
"student22",3,3,2.5,4,3.33
"student23",2.5,3.5,2.25,3.5,2.17
"student24",3,3.5,2.75,3.75,3.67
"student25",2.75,3,2.67,2.25,2.2
"student26",3.33,3,2.67,2.67,2.67
"student27",2.75,3,2.25,2.5,3.5
"student28",2.75,3.5,2.25,2.75,2.83
"student29",2.75,3,2.25,3,2.17
"student3",3.25,3.75,2.5,3.25,2.17
"student30",3,4,2.5,1.25,3
"student31",2.75,3,2.33,3,1.83
"student32",3,3,2.25,2.5,1.67
"student33",3,3.5,2.5,3,2.33
"student34",3,3.25,2.25,3.25,2.33
"student35",3,3.25,2,3.5,2.33
"student36",2.75,3.75,2.25,3.5,3.67
"student37",2.75,3,2.5,2.25,3
"student38",3.25,3.75,2.5,3.25,1.67
"student39",3.25,4,2,3.25,2.67
"student4",2.75,3.5,2.25,3.5,2.33
"student40",3,4,2.5,3,2.17
"student41",3,3,2,3.25,2.5
"student42",3,3.25,2,3.5,3.17
"student43",3.25,3.75,2.5,3.25,2.17
"student44",3,3.75,2.5,1.75,2.17
"student45",3.25,3.5,2.5,3,2.33
"student46",3.25,3.5,2.25,3.5,3
"student47",3,4,2.25,2.5,2.17
"student48",3,4,2.25,1.25,2.67
"student49",2,1,1.75,2.5,2
"student5",3.25,4,2.5,4,1.5
"student50",2.5,4,2.25,2,1.83
"student51",2,3.75,13.25,3.25,3.17
"student52",3.5,3.5,2.75,3,1.67
"student53",3.25,2.25,2.25,3.25,3
"student54",2.75,3,2,3.5,3.17
"student55",3.25,4,2.5,3.25,3.17
"student56",3.25,4,2.25,3.5,1.83
"student57",3.25,4,2.5,4,2.17
"student58",3.25,4,2.5,4,1.5
"student59",2.5,3.5,2.25,2.75,1.5
"student6",3.25,4,2.75,3.25,1.83
"student60",3,2.75,2.5,2.67,2
"student61",2.25,4,2.67,3.5,1.83
"student62",2.75,3.5,2.25,2,2.83
"student63",3,4,2.5,3.25,1.67
"student64",3.5,3.25,2.67,2.75,2.67
"student65",3,3.25,2.25,3,2.17
"student66",3.25,3,2.5,2.5,2.5
"student67",3,2,2.75,2,1.33
"student68",2.75,2.25,2.5,2.5,2.33
"student69",2.75,3,2,3.67,3.5
"student7",2.75,3,2,2,2.5
"student70",2.5,3.5,2,3,3
"student71",3.25,3.5,2.5,3.25,2.33
"student72",3.25,3.75,2.25,3.75,2.5
"student73",2.75,3,2.25,3,2
"student74",3.25,3.75,2.5,2.75,2.67
"student75",2.25,2.25,2.25,3.25,2.17
"student76",2.5,4,2.5,3.25,2.5
"student77",1.75,2.75,2.5,2.5,3.17
"student78",3.25,4,2.25,3,2.67
"student79",2.5,3,2.25,2.75,3
"student8",3,3.25,2.25,3.25,2.67
"student80",2.75,3.75,2.5,3,3
"student81",2.75,4,2.5,3.33,2.67
"student82",3,3,2,2.75,2.33
"student83",2.75,3.75,2.75,3,2.17
"student84",3,3.5,2.5,3.75,3.17
"student85",3,3.25,2.25,2.75,1.83
"student86",2.5,3.25,2.25,2.75,2.33
"student87",2.25,3,2.25,2.75,1.33
"student88",3,3,2.25,2.67,2
"student89",3.25,4,2.5,3.5,2.33
"student9",3,3.25,2.25,3.25,2.5
"student90",3.25,3.25,2.25,2.75,2.5
"student91",2.75,2.5,2,2.5,3.33
"student92",2.75,3.5,2.5,3,2.4
"student93",3.25,3,2.25,3.33,2.67
"student94",3.25,3.5,2,3,2.67
"student95",2.25,3.75,2.75,2.5,1.33
"student96",2.25,3,2,2.75,1.67
"student97",3,4,2.25,3,1.83
"student98",3.25,4,2.25,3.25,2
"student99",3,4,1.67,3.33,2.67
