"studentID","Pa","Na"
"student1",3.5,2.7
"student10",3.6,1.6
"student100",4.1,1.2
"student101",3.5,2
"student102",3.9,1.4
"student103",3.6,1.8
"student104",3.9,2.7
"student105",4.2,1.5
"student106",3.9,1.8
"student107",3.3,2.4
"student108",3.1,2.3
"student109",4.1,2
"student11",4.3,1.4
"student110",3.8,1.2
"student111",3.9,2.1
"student112",4.3,1.6
"student113",2.5,1.2
"student114",2.9,1.9
"student115",3.5,1.8
"student116",4.4,1.8
"student117",3,3.5
"student12",4.1,1.2
"student13",3.8,1.6
"student14",3.6,2.6
"student15",4.9,1.4
"student16",3.78,1.9
"student17",3.4,2.8
"student18",3.3,2.9
"student19",3.6,2.6
"student2",3.6,2.7
"student20",4.1,1.9
"student21",3.6,2.9
"student22",3.2,1.6
"student23",4.1,1.8
"student24",3.5,1.4
"student25",3.9,2.9
"student26",3.4,3.5
"student27",3.4,3
"student28",3.8,1.7
"student29",NA,NA
"student3",3.6,2.5
"student30",3.2,2.9
"student31",3.5,1.7
"student32",2.7,3.2
"student33",3.7,1.7
"student34",3.4,2.5
"student35",3,2.2
"student36",3.4,2
"student37",3.6,1.7
"student38",4.6,1.4
"student39",4.3,2.4
"student4",3.9,2.5
"student40",3.8,2
"student41",4.1,1.2
"student42",4.3,2.4
"student43",3.9,1.9
"student44",2.9,3.4
"student45",4.3,1.3
"student46",4.3,1.5
"student47",4.1,2.2
"student48",3.1,3.3
"student49",3.6,1.4
"student5",4.4,1.4
"student50",4,1.3
"student51",3.8,3.6
"student52",4,1.78
"student53",2.7,2.8
"student54",3.4,1.6
"student55",3.6,1.9
"student56",3.6,1.9
"student57",4.6,2.8
"student58",4.3,1
"student59",3.7,3.3
"student6",4.6,1.6
"student60",3.3,2
"student61",3.5,1.7
"student62",3.8,2
"student63",3.5,1
"student64",3.5,1.9
"student65",3.7,1.8
"student66",3.1,2.1
"student67",3.3,1
"student68",3.3,2
"student69",3.1,2.5
"student7",4.1,2.3
"student70",3.7,3.8
"student71",3.7,2.3
"student72",4.1,1.8
"student73",3.6,1.3
"student74",3.5,1.5
"student75",3.8,2.2
"student76",3.5,2.8
"student77",4.2,1.3
"student78",3.7,2.6
"student79",3.2,2.8
"student8",4,2.4
"student80",3.9,1.6
"student81",3.22,2
"student82",4.1,1.5
"student83",3.9,1.8
"student84",4.4,1.9
"student85",3.8,1.8
"student86",4.1,2
"student87",3.9,1.2
"student88",3.3,2
"student89",3,4.3
"student9",3.9,2.1
"student90",4.1,1.6
"student91",4,2.3
"student92",3.6,3
"student93",3.6,1.6
"student94",3.2,3
"student95",2.9,1.8
"student96",2.8,1.9
"student97",3,2
"student98",4.4,1.1
"student99",3,1.6
